tconst,title,genres_x,Decade,tagline,production_companies_name,vote_count,tokens_tagline,tokens_title
tt0113101,Groom service,Comedy,1990,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Miramax,111831.0,"Twelve outrageous guests . Four scandalous requests . one lone bellhop , first day job , 's wildest New year 's Eve life .",Groom service
tt0107286,La nuit du jugement,Action Crime Drama,1990,Don't move. Don't whisper. Don't even breathe.,Largo Entertainment,18552.0,n't move . n't whisper . n't even breathe .,nuit jugement
tt0076759,Star Wars: Épisode IV - Un nouvel espoir,Action Adventure Fantasy,1970,"A long time ago in a galaxy far, far away...",Lucasfilm Ltd.,1441177.0,"long time ago galaxy far , far away ...",Star Wars : Épisode IV - nouvel espoir
tt0266543,Le Monde de Nemo,Adventure Animation Comedy,2000,There are 3.7 trillion fish in the ocean. They're looking for one.,Pixar,1108362.0,3.7 trillion fish ocean . 're looking one .,Monde Nemo
tt0109830,Forrest Gump,Drama Romance,1990,The world will never be the same once you've seen it through the eyes of Forrest Gump.,Paramount,2221980.0,world never 've seen eyes Forrest Gump .,Forrest Gump
tt0169547,American Beauty,Drama,1990,Look closer.,Jinks/Cohen Company,1203406.0,Look closer .,American Beauty
tt0033467,Citizen Kane,Drama Mystery,1940,It's terrific!,Mercury Productions,463592.0,'s terrific !,Citizen Kane
tt0411267,The Dark,Drama Fantasy Horror,2000,One of the living for one of the dead.,Constantin Film,11548.0,One living one dead .,Dark
tt0119116,Le cinquième élément,Action Adventure Sci-Fi,1990,There is no future without it.,Gaumont,505141.0,future without .,cinquième élément
tt0325980,Pirates des Caraïbes : La malédiction du Black Pearl,Action Adventure Fantasy,2000,Prepare to be blown out of the water.,Walt Disney Pictures,1201771.0,Prepare blown water .,Pirates Caraïbes : malédiction Black Pearl
tt0266697,Kill Bill: Volume I,Action Crime Thriller,2000,A roaring rampage of revenge.,Miramax,1182379.0,roaring rampage revenge .,Kill Bill : Volume
tt0411705,9 Songs,Drama Music Romance,2000,"2 lovers, one summer, and the 9 songs that defined them.",Revolution Films,24027.0,"2 lovers , one summer , 9 songs defined .",9 Songs
tt0078788,Apocalypse Now,Drama Mystery War,1970,This is the end...,United Artists,703696.0,end ...,Apocalypse
tt0462538,Les Simpson: Le film,Adventure Animation Comedy,2000,See our family. And feel better about yours.,Gracie Films,352212.0,See family . feel better .,Simpson : film
tt0338013,Eternal Sunshine of the Spotless Mind,Drama Romance Sci-Fi,2000,You can erase someone from your mind. Getting them out of your heart is another story.,Focus Features,1066918.0,erase someone mind . Getting heart another story .,Eternal Sunshine Spotless Mind
tt0383574,Pirates des Caraïbes : Le secret du coffre maudit,Action Adventure Fantasy,2000,Captain Jack is back!,Walt Disney Pictures,766982.0,Captain Jack back !,Pirates Caraïbes : secret coffre maudit
tt0062622,2001 : L'Odyssée de l'espace,Adventure Sci-Fi,1960,The Ultimate Trip.,Stanley Kubrick Productions,713821.0,Ultimate Trip .,2001 : L'Odyssée l'espace
tt0114746,L'Armée des 12 singes,Mystery Sci-Fi Thriller,1990,The future is history.,Universal Pictures,645399.0,future history .,L'Armée 12 singes
tt0298203,8 Mile,Drama Music,2000,Every Moment Is Another Chance,Mikona Productions GmbH & Co. KG,318758.0,Every Moment Another Chance,8 Mile
tt0405159,Million Dollar Baby,Drama Sport,2000,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Lakeshore Entertainment,719593.0,"Beyond silence , past . Beyond dreams , feeling . Beyond hope , memory . Beyond journey , love .",Million Dollar Baby
tt0249462,Billy Elliot,Drama Music,2000,Inside every one of us is a special talent waiting to come out. The trick is finding it.,StudioCanal,143973.0,Inside every one us special talent waiting come . trick finding .,Billy Elliot
tt0120586,American History X,Crime Drama,1990,Some Legacies Must End.,New Line Cinema,1176175.0,Legacies Must End .,American History X
tt0407304,La Guerre des mondes,Action Adventure Sci-Fi,2000,They're already here.,Paramount,475408.0,'re already .,Guerre mondes
tt0116996,Mars Attacks!,Comedy Sci-Fi,1990,Nice planet. We'll take it!,Tim Burton Productions,244320.0,Nice planet . 'll take !,Mars Attacks !
tt0112471,Before Sunrise,Drama Romance,1990,Can the greatest romance of your life last only one night?,Castle Rock Entertainment,334104.0,greatest romance life last one night ?,Sunrise
tt0083658,Blade Runner,Action Drama Sci-Fi,1980,Man has made his match... now it's his problem.,Shaw Brothers,818306.0,Man made match ... 's problem .,Blade Runner
tt0299977,Hero,Action Adventure Drama,2000,One man's strength will unite an empire.,Beijing New Picture Film Co. Ltd.,188050.0,One man 's strength unite empire .,Hero
tt0381681,Before Sunset,Drama Romance,2000,What if you had a second chance with the one that got away?,Warner Independent Pictures (WIP),284405.0,second chance one got away ?,Sunset
tt0087544,Nausicaä de la vallée du vent,Adventure Animation Sci-Fi,1980,A young girl's love called forth miracles…,Topcraft,180978.0,young girl 's love called forth miracles…,Nausicaä vallée vent
tt0430357,Miami Vice - Deux flics à Miami,Action Crime Drama,2000,No Law. No Rules. No Order.,Metropolis Films,123526.0,Law . Rules . Order .,Miami Vice - Deux flics Miami
tt0082971,Les Aventuriers de l'arche perdue,Action Adventure,1980,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Paramount,1029771.0,Indiana Jones - new hero creators JAWS STAR WARS .,Aventuriers l'arche perdue
tt0087469,Indiana Jones et le Temple maudit,Action Adventure,1980,If adventure has a name... it must be Indiana Jones.,Paramount,533332.0,adventure name ... must Indiana Jones .,Indiana Jones Temple maudit
tt0092890,Dirty Dancing,Drama Music Romance,1980,Have the time of your life.,Great American Films Limited Partnership,254822.0,time life .,Dirty Dancing
tt0097576,Indiana Jones et la dernière croisade,Action Adventure,1980,"The man with the hat is back. And this time, he's bringing his Dad.",Paramount,805148.0,"man hat back . time , 's bringing Dad .",Indiana Jones dernière croisade
tt0086960,Le flic de Beverly Hills,Action Comedy Crime,1980,The Heat Is On!,Paramount,199294.0,Heat !,flic Beverly Hills
tt0052561,Autopsie d'un meurtre,Drama Mystery,1950,"No search of human emotions has ever probed so deeply, so truthfully as… Anatomy of a Murder.",Columbia Pictures,70669.0,"search human emotions ever probed deeply , truthfully as… Anatomy Murder .",Autopsie d'un meurtre
tt0120591,Armageddon,Action Adventure Sci-Fi,1990,The Earth's Darkest Day Will Be Man's Finest Hour,Touchstone Pictures,450744.0,Earth 's Darkest Day Man 's Finest Hour,Armageddon
tt0092644,Le flic de Beverly Hills 2,Action Comedy Crime,1980,The Heat's Back On!,Eddie Murphy Productions,128949.0,Heat 's Back !,flic Beverly Hills 2
tt0084827,Tron,Action Adventure Sci-Fi,1980,A world inside the computer where man has never been. Until now.,Lisberger/Kushner Productions,129174.0,world inside computer man never . .,Tron
tt0185125,Tout sur ma mère,Comedy Drama Romance,1990,Part of every woman is a mother/actress/saint/sinner. And part of every man is a woman.,Renn Productions,103043.0,Part every woman mother/actress/saint/sinner . part every man woman .,Tout mère
tt0120735,"Arnaques, crimes et botanique",Action Comedy Crime,1990,A Disgrace to Criminals Everywhere.,Summit Entertainment,611964.0,Disgrace Criminals Everywhere .,"Arnaques , crimes botanique"
tt0110413,Léon,Action Crime Drama,1990,"If you want a job done well, hire a professional.",Gaumont,1231217.0,"want job done well , hire professional .",Léon
tt0075314,Taxi Driver,Crime Drama,1970,"On every street in every city, there's a nobody who dreams of being a somebody.",Italo/Judeo Productions,905394.0,"every street every city , 's nobody dreams somebody .",Taxi Driver
